p,pLabel,pContent,pAlias,pWikilink,reignstart,reignend,pPicture
http://www.wikidata.org/entity/Q151902,Benedict I,pope,"Benedict, Pope Benedict, Pope Benedict I",https://en.wikipedia.org/wiki/Pope%20Benedict%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Benedict%20I.jpg
http://www.wikidata.org/entity/Q151908,Pelagius II,pope,Pope Pelagius II,https://en.wikipedia.org/wiki/Pope%20Pelagius%20II,,,http://commons.wikimedia.org/wiki/Special:FilePath/PopePelagiusII.jpg
http://www.wikidata.org/entity/Q42827,Gregory I,Pope from 590 to 604,"Gregory, Gregorio, ‏ papa Gregorio‏ I, de Grote, Saint Gregorius, der Grosse, Saint Gregor, Grēgorios, Gregorius Anicius, Gregorius Magnus, Gregory the Great, le Grand, Saint Grégoire, Magnus, Saint Gregorius, Magnus, santo Gregorius PP. I, pape Grégoire I, Pope Gregory I, Pope Gregory the Great, Pope Saint Gregory I the Great, Pope St. Gregory I, Saint Gregory, Saint Gregory I, Saint Gregory the Great, St Gregory, St Gregory I, St Gregory the Great, St. Gregory the Dialogist, St. Gregory the Great, the Great, Saint Gregory",https://en.wikipedia.org/wiki/Pope%20Gregory%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20de%20Zurbar%C3%A1n%20040.jpg
http://www.wikidata.org/entity/Q170498,Sabinian,pope,Pope Sabinian,https://en.wikipedia.org/wiki/Pope%20Sabinian,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sabinian.jpg
http://www.wikidata.org/entity/Q170297,Boniface III,pope,Pope Boniface III,https://en.wikipedia.org/wiki/Pope%20Boniface%20III,,,http://commons.wikimedia.org/wiki/Special:FilePath/Boniface%20III.jpg
http://www.wikidata.org/entity/Q170505,Boniface IV,pope,Pope Boniface IV,https://en.wikipedia.org/wiki/Pope%20Boniface%20IV,,,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Bonifacio%20IV%20papa1.gif
http://www.wikidata.org/entity/Q170550,Adeodatus I,pope,"Adeodatus, Deusdedit, Deodatus, Pope Adeodatus, Deodatus I, Deusdedit I, Deusdedit, son of Stephen, Pope Adeodatus I, Pope Deodatus, Pope Deodatus I, Pope Deusdedit, Pope Deusdedit I",https://en.wikipedia.org/wiki/Pope%20Adeodatus%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Adeodatus%20I%20%28Deusdedit%20I%29.jpg
http://www.wikidata.org/entity/Q170299,Boniface V,pope,Pope Boniface V,https://en.wikipedia.org/wiki/Pope%20Boniface%20V,,,http://commons.wikimedia.org/wiki/Special:FilePath/Papa%20Bonifacio%20V.jpg
http://www.wikidata.org/entity/Q170502,Honorius I,pope,"Honorius, Pope Honorius, Pope Honorius I",https://en.wikipedia.org/wiki/Pope%20Honorius%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Honorius%20I%20-%20Apse%20mosaic%20-%20Sant%27Agnese%20fuori%20le%20mura%20-%20Rome%202016.jpg
http://www.wikidata.org/entity/Q199486,Severinus,pope,Pope Severinus,https://en.wikipedia.org/wiki/Pope%20Severinus,,,http://commons.wikimedia.org/wiki/Special:FilePath/Severinus.jpg
http://www.wikidata.org/entity/Q199491,John IV,pope,"Ioannes IV, Pope John IV",https://en.wikipedia.org/wiki/Pope%20John%20IV,,,http://commons.wikimedia.org/wiki/Special:FilePath/Murner%20History%20Cod%20Karlsruhe%203117%20%28crop%29.jpg
http://www.wikidata.org/entity/Q104244,Theodore I,pope,"Pope Theodore, Theodore, Pope Theodore I",https://en.wikipedia.org/wiki/Pope%20Theodore%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Theodorus%20I.jpg
http://www.wikidata.org/entity/Q172390,Martin I,pope,"Martin, Pope Martin, Pope Martin I",https://en.wikipedia.org/wiki/Pope%20Martin%20I,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Martin%20I.jpg
